page_index,text_id,base_language_code,target_language_code,status,error
15,text-15-7,en,es,success,
13,text-13-1,en,es,success,
25,text-25-1,en,es,enqueued,
23,text-23-10,en,es,enqueued,
11,text-11-31,en,es,enqueued,
25,text-25-2,en,es,enqueued,
23,text-23-11,en,es,enqueued,
11,text-11-32,en,es,enqueued,
25,text-25-3,en,es,enqueued,
23,text-23-12,en,es,enqueued,
24,text-24-1,en,es,success,
11,text-11-33,en,es,enqueued,
13,text-13-3,en,es,success,
25,text-25-4,en,es,enqueued,
23,text-23-13,en,es,enqueued,
25,text-25-5,en,es,enqueued,
23,text-23-14,en,es,enqueued,
25,text-25-6,en,es,enqueued,
23,text-23-15,en,es,enqueued,
25,text-25-7,en,es,enqueued,
23,text-23-16,en,es,enqueued,
25,text-25-8,en,es,enqueued,
23,text-23-17,en,es,enqueued,
25,text-25-9,en,es,enqueued,
17,text-17-0,en,es,enqueued,
23,text-23-18,en,es,enqueued,
19,text-19-0,en,es,success,
29,text-29-0,en,es,success,
13,text-13-5,en,es,success,
25,text-25-10,en,es,enqueued,
13,text-13-4,en,es,success,
17,text-17-1,en,es,enqueued,
23,text-23-19,en,es,enqueued,
30,text-30-0,en,es,success,
25,text-25-11,en,es,enqueued,
17,text-17-2,en,es,enqueued,
23,text-23-20,en,es,enqueued,
25,text-25-12,en,es,enqueued,
17,text-17-3,en,es,enqueued,
23,text-23-21,en,es,enqueued,
20,text-20-1,en,es,success,
17,text-17-4,en,es,enqueued,
19,text-19-1,en,es,success,
17,text-17-5,en,es,enqueued,
17,text-17-6,en,es,enqueued,
17,text-17-7,en,es,enqueued,
17,text-17-8,en,es,enqueued,
17,text-17-9,en,es,enqueued,
13,text-13-6,en,es,success,
17,text-17-10,en,es,enqueued,
20,text-20-4,en,es,success,
17,text-17-11,en,es,enqueued,
28,text-28-0,en,es,enqueued,
17,text-17-12,en,es,enqueued,
29,text-29-1,en,es,success,
28,text-28-1,en,es,enqueued,
17,text-17-13,en,es,enqueued,
27,text-27-0,en,es,enqueued,
28,text-28-2,en,es,enqueued,
17,text-17-14,en,es,enqueued,
20,text-20-2,en,es,success,
27,text-27-1,en,es,enqueued,
28,text-28-3,en,es,enqueued,
17,text-17-15,en,es,enqueued,
27,text-27-2,en,es,enqueued,
28,text-28-4,en,es,enqueued,
17,text-17-16,en,es,enqueued,
27,text-27-3,en,es,enqueued,
28,text-28-5,en,es,enqueued,
17,text-17-17,en,es,enqueued,
27,text-27-4,en,es,enqueued,
13,text-13-7,en,es,success,
20,text-20-5,en,es,success,
28,text-28-6,en,es,enqueued,
17,text-17-18,en,es,enqueued,
27,text-27-5,en,es,enqueued,
28,text-28-7,en,es,enqueued,
17,text-17-19,en,es,enqueued,
29,text-29-2,en,es,success,
27,text-27-6,en,es,enqueued,
28,text-28-8,en,es,enqueued,
17,text-17-20,en,es,enqueued,
27,text-27-7,en,es,enqueued,
28,text-28-9,en,es,enqueued,
17,text-17-21,en,es,enqueued,
27,text-27-8,en,es,enqueued,
28,text-28-10,en,es,enqueued,
17,text-17-22,en,es,enqueued,
27,text-27-9,en,es,enqueued,
28,text-28-11,en,es,enqueued,
17,text-17-23,en,es,enqueued,
27,text-27-10,en,es,enqueued,
28,text-28-12,en,es,enqueued,
17,text-17-24,en,es,enqueued,
27,text-27-11,en,es,enqueued,
28,text-28-13,en,es,enqueued,
19,text-19-3,en,es,success,
27,text-27-12,en,es,enqueued,
28,text-28-14,en,es,enqueued,
28,text-28-15,en,es,enqueued,
28,text-28-16,en,es,enqueued,
19,text-19-2,en,es,success,
20,text-20-6,en,es,success,
28,text-28-17,en,es,enqueued,
28,text-28-18,en,es,enqueued,
28,text-28-19,en,es,enqueued,
13,text-13-8,en,es,success,
28,text-28-20,en,es,enqueued,
19,text-19-5,en,es,success,
28,text-28-21,en,es,enqueued,
13,text-13-10,en,es,success,
13,text-13-9,en,es,success,
28,text-28-22,en,es,enqueued,
28,text-28-23,en,es,enqueued,
28,text-28-24,en,es,enqueued,
20,text-20-7,en,es,success,
28,text-28-25,en,es,enqueued,
28,text-28-26,en,es,enqueued,
20,text-20-3,en,es,success,
20,text-20-8,en,es,success,
10,text-10-0,en,es,success,
13,text-13-11,en,es,success,
26,text-26-0,en,es,enqueued,
26,text-26-1,en,es,enqueued,
26,text-26-2,en,es,enqueued,
26,text-26-3,en,es,enqueued,
26,text-26-4,en,es,enqueued,
26,text-26-5,en,es,enqueued,
26,text-26-6,en,es,enqueued,
26,text-26-7,en,es,enqueued,
26,text-26-8,en,es,enqueued,
26,text-26-9,en,es,enqueued,
26,text-26-10,en,es,enqueued,
26,text-26-11,en,es,enqueued,
26,text-26-12,en,es,enqueued,
26,text-26-13,en,es,enqueued,
19,text-19-6,en,es,success,
26,text-26-14,en,es,enqueued,
26,text-26-15,en,es,enqueued,
26,text-26-16,en,es,enqueued,
26,text-26-17,en,es,enqueued,
26,text-26-18,en,es,enqueued,
26,text-26-19,en,es,enqueued,
26,text-26-20,en,es,enqueued,
26,text-26-21,en,es,enqueued,
26,text-26-22,en,es,enqueued,
26,text-26-23,en,es,enqueued,
26,text-26-24,en,es,enqueued,
26,text-26-25,en,es,enqueued,
26,text-26-26,en,es,enqueued,
19,text-19-8,en,es,success,
26,text-26-27,en,es,enqueued,
20,text-20-10,en,es,success,
26,text-26-28,en,es,enqueued,
13,text-13-14,en,es,success,
20,text-20-9,en,es,success,
13,text-13-12,en,es,success,
19,text-19-4,en,es,success,
10,text-10-2,en,es,success,
10,text-10-1,en,es,success,
10,text-10-3,en,es,success,
19,text-19-9,en,es,success,
19,text-19-7,en,es,success,
19,text-19-10,en,es,success,
13,text-13-13,en,es,success,
10,text-10-4,en,es,success,
19,text-19-11,en,es,success,
19,text-19-14,en,es,success,
19,text-19-12,en,es,success,
10,text-10-7,en,es,success,
19,text-19-13,en,es,success,
10,text-10-5,en,es,success,
10,text-10-6,en,es,success,
10,text-10-8,en,es,success,
10,text-10-9,en,es,success,
10,text-10-10,en,es,success,
10,text-10-13,en,es,success,
10,text-10-15,en,es,success,
10,text-10-12,en,es,success,
10,text-10-14,en,es,success,
18,text-18-2,en,es,success,
18,text-18-1,en,es,success,
18,text-18-0,en,es,success,
18,text-18-6,en,es,success,
18,text-18-4,en,es,success,
18,text-18-3,en,es,success,
18,text-18-8,en,es,success,
18,text-18-5,en,es,success,
11,text-11-0,en,es,success,
11,text-11-2,en,es,success,
18,text-18-7,en,es,success,
11,text-11-1,en,es,success,
18,text-18-10,en,es,success,
11,text-11-4,en,es,success,
18,text-18-12,en,es,success,
18,text-18-11,en,es,success,
11,text-11-8,en,es,success,
11,text-11-3,en,es,success,
11,text-11-7,en,es,success,
11,text-11-5,en,es,success,
18,text-18-15,en,es,success,
18,text-18-13,en,es,success,
18,text-18-16,en,es,success,
11,text-11-6,en,es,success,
18,text-18-14,en,es,success,
18,text-18-9,en,es,success,
18,text-18-18,en,es,success,
11,text-11-11,en,es,success,
11,text-11-9,en,es,success,
11,text-11-13,en,es,success,
11,text-11-14,en,es,success,
18,text-18-17,en,es,success,
11,text-11-12,en,es,success,
11,text-11-16,en,es,success,
11,text-11-10,en,es,success,
11,text-11-15,en,es,success,
11,text-11-18,en,es,success,
11,text-11-17,en,es,success,
23,text-23-1,en,es,success,
11,text-11-20,en,es,success,
11,text-11-22,en,es,success,
11,text-11-21,en,es,success,
11,text-11-24,en,es,success,
23,text-23-3,en,es,success,
23,text-23-0,en,es,success,
11,text-11-19,en,es,success,
23,text-23-4,en,es,success,
11,text-11-23,en,es,success,
11,text-11-26,en,es,success,
23,text-23-5,en,es,success,
23,text-23-2,en,es,success,
11,text-11-25,en,es,success,
23,text-23-7,en,es,success,
10,text-10-11,en,es,success,
23,text-23-6,en,es,success,
11,text-11-28,en,es,success,
11,text-11-29,en,es,success,
25,text-25-0,en,es,success,
23,text-23-9,en,es,success,
11,text-11-27,en,es,success,
23,text-23-8,en,es,success,
11,text-11-32,en,es,success,
11,text-11-30,en,es,success,
23,text-23-10,en,es,success,
11,text-11-31,en,es,success,
25,text-25-1,en,es,success,
23,text-23-11,en,es,success,
11,text-11-33,en,es,success,
23,text-23-13,en,es,success,
23,text-23-12,en,es,success,
25,text-25-2,en,es,success,
23,text-23-14,en,es,success,
25,text-25-3,en,es,success,
23,text-23-15,en,es,success,
25,text-25-6,en,es,success,
25,text-25-4,en,es,success,
25,text-25-5,en,es,success,
23,text-23-16,en,es,success,
25,text-25-8,en,es,success,
25,text-25-7,en,es,success,
25,text-25-10,en,es,success,
17,text-17-0,en,es,success,
23,text-23-19,en,es,success,
23,text-23-17,en,es,success,
25,text-25-12,en,es,success,
25,text-25-9,en,es,success,
17,text-17-1,en,es,success,
23,text-23-20,en,es,success,
25,text-25-11,en,es,success,
23,text-23-21,en,es,success,
23,text-23-18,en,es,success,
17,text-17-2,en,es,success,
17,text-17-3,en,es,success,
17,text-17-10,en,es,success,
28,text-28-0,en,es,success,
28,text-28-1,en,es,success,
17,text-17-9,en,es,success,
17,text-17-8,en,es,success,
17,text-17-7,en,es,success,
17,text-17-12,en,es,success,
28,text-28-2,en,es,success,
17,text-17-13,en,es,success,
27,text-27-0,en,es,success,
28,text-28-3,en,es,success,
27,text-27-1,en,es,success,
28,text-28-4,en,es,success,
17,text-17-15,en,es,success,
27,text-27-2,en,es,success,
28,text-28-5,en,es,success,
27,text-27-4,en,es,success,
17,text-17-16,en,es,success,
27,text-27-3,en,es,success,
17,text-17-17,en,es,success,
17,text-17-14,en,es,success,
28,text-28-6,en,es,success,
17,text-17-11,en,es,success,
17,text-17-6,en,es,success,
28,text-28-7,en,es,success,
17,text-17-19,en,es,success,
17,text-17-18,en,es,success,
28,text-28-8,en,es,success,
27,text-27-6,en,es,success,
17,text-17-5,en,es,success,
28,text-28-9,en,es,success,
17,text-17-20,en,es,success,
27,text-27-5,en,es,success,
28,text-28-10,en,es,success,
27,text-27-8,en,es,success,
28,text-28-11,en,es,success,
17,text-17-22,en,es,success,
27,text-27-7,en,es,success,
