page_index,image_id,target_language_code,status,error
23,img-23-3,es,success,
30,img-30-5,es,success,
30,img-30-3,es,success,
14,img-14-1,es,success,
30,img-30-9,en,success,
21,img-21-5,en,success,
26,img-26-1,en,success,
30,img-30-5,en,success,
30,img-30-9,es,success,
30,img-30-7,es,success,
21,img-21-7,en,success,
13,img-13-3,es,success,
30,img-30-8,es,success,
21,img-21-3,es,success,
21,img-21-3,en,success,
13,img-13-4,en,success,
13,img-13-2,es,success,
30,img-30-3,en,success,
13,img-13-1,es,success,
30,img-30-7,en,success,
26,img-26-3,es,success,
29,img-29-1,es,success,
13,img-13-4,es,success,
29,img-29-1,en,success,
26,img-26-3,en,success,
29,img-29-2,es,success,
13,img-13-3,en,success,
29,img-29-3,es,success,
29,img-29-4,es,success,
13,img-13-5,en,success,
13,img-13-5,es,success,
29,img-29-6,es,success,
29,img-29-5,es,success,
23,img-23-1,es,success,
29,img-29-2,en,success,
28,img-28-7,es,success,
29,img-29-4,en,success,
28,img-28-8,en,success,
28,img-28-7,en,success,
29,img-29-6,en,success,
21,img-21-1,en,success,
28,img-28-9,en,success,
29,img-29-7,en,success,
29,img-29-7,es,success,
29,img-29-3,en,success,
29,img-29-9,en,success,
28,img-28-10,es,success,
28,img-28-9,es,success,
29,img-29-5,en,success,
28,img-28-8,es,success,
28,img-28-10,en,success,
28,img-28-11,en,success,
29,img-29-8,es,success,
29,img-29-10,en,success,
29,img-29-10,es,success,
28,img-28-11,es,success,
29,img-29-13,es,success,
29,img-29-9,es,success,
29,img-29-13,en,success,
17,img-17-2,es,success,
29,img-29-8,en,success,
28,img-28-12,en,success,
17,img-17-2,en,success,
17,img-17-3,en,success,
17,img-17-1,en,success,
17,img-17-3,es,success,
17,img-17-4,es,success,
17,img-17-6,en,success,
17,img-17-1,es,success,
17,img-17-5,en,success,
17,img-17-11,en,success,
17,img-17-9,en,success,
17,img-17-6,es,success,
17,img-17-7,en,success,
17,img-17-7,es,success,
17,img-17-8,es,success,
17,img-17-5,es,success,
17,img-17-17,en,success,
17,img-17-11,es,success,
17,img-17-17,es,success,
12,img-12-1,es,success,
17,img-17-8,en,success,
28,img-28-12,es,success,
17,img-17-18,en,success,
12,img-12-5,es,success,
12,img-12-7,es,success,
12,img-12-8,en,success,
12,img-12-2,en,success,
17,img-17-4,en,success,
12,img-12-3,es,success,
12,img-12-8,es,success,
12,img-12-4,es,success,
12,img-12-6,es,success,
17,img-17-10,es,success,
12,img-12-9,en,success,
17,img-17-18,es,success,
12,img-12-4,en,success,
12,img-12-7,en,success,
12,img-12-5,en,success,
17,img-17-12,en,success,
12,img-12-6,en,success,
17,img-17-10,en,success,
12,img-12-3,en,success,
17,img-17-12,es,success,
17,img-17-9,es,success,
12,img-12-1,en,success,
12,img-12-9,es,success,
12,img-12-2,es,success,
